Temp,cmp1,cmp2,cmp3,cmp4,cmp5,cmp6,cmp7,cmp8,cmp9,cmp10,cmp11,cmp12,cmp13
439.46,127540.99,80066.64,74236.32,9565.55,42238.49,8537.01,13880.93,2867.97,8859.34,7721.66,2889.75,11571.89,1005.69
439.56,127822.46,80290.05,74434.87,9599.64,42369.13,8565.88,13928.44,2880.01,8891.4,7749.46,2900.88,11614.2,1009.98
439.66,128104.39,80513.97,74633.85,9633.84,42500.08,8594.84,13976.08,2892.1,8923.57,7777.35,2912.06,11656.63,1014.3
439.76,128386.8,80738.4,74833.26,9668.13,42631.36,8623.88,14023.86,2904.23,8955.84,7805.32,2923.27,11699.2,1018.63
439.86,128669.68,80963.35,75033.1,9702.53,42762.95,8653,14071.78,2916.41,8988.21,7833.38,2934.52,11741.89,1022.97
439.96,128953.04,81188.81,75233.38,9737.03,42894.86,8682.2,14119.85,2928.62,9020.68,7861.52,2945.81,11784.72,1027.34
440.06,129236.87,81414.8,75434.1,9771.63,43027.08,8711.49,14168.06,2940.89,9053.25,7889.75,2957.14,11827.68,1031.71
440.16,129521.18,81641.3,75635.25,9806.34,43159.63,8740.86,14216.41,2953.19,9085.93,7918.07,2968.5,11870.77,1036.11
440.26,129805.96,81868.32,75836.83,9841.15,43292.5,8770.32,14264.91,2965.55,9118.71,7946.48,2979.91,11914,1040.52
440.36,130091.22,82095.86,76038.85,9876.06,43425.69,8799.86,14313.55,2977.94,9151.59,7974.97,2991.35,11957.36,1044.95
440.46,130376.95,82323.92,76241.31,9911.08,43559.21,8829.49,14362.33,2990.38,9184.58,8003.55,3002.83,12000.85,1049.39
440.56,130663.17,82552.51,76444.21,9946.2,43693.04,8859.2,14411.26,3002.87,9217.67,8032.22,3014.36,12044.47,1053.85
440.66,130949.86,82781.61,76647.55,9981.42,43827.2,8889,14460.33,3015.4,9250.86,8060.98,3025.92,12088.23,1058.33
440.76,131237.03,83011.24,76851.33,10016.75,43961.68,8918.88,14509.55,3027.97,9284.16,8089.82,3037.52,12132.12,1062.82
440.86,131524.68,83241.4,77055.54,10052.19,44096.49,8948.84,14558.91,3040.59,9317.56,8118.76,3049.16,12176.15,1067.33
440.96,131812.8,83472.08,77260.2,10087.73,44231.61,8978.9,14608.42,3053.26,9351.07,8147.78,3060.84,12220.31,1071.86
441.06,132101.41,83703.28,77465.3,10123.37,44367.07,9009.04,14658.07,3065.97,9384.68,8176.89,3072.55,12264.61,1076.4
441.16,132390.5,83935.02,77670.85,10159.13,44502.85,9039.26,14707.87,3078.72,9418.4,8206.1,3084.31,12309.05,1080.96
441.26,132680.07,84167.28,77876.83,10194.98,44638.95,9069.57,14757.82,3091.53,9452.22,8235.39,3096.11,12353.61,1085.54
441.36,132970.12,84400.07,78083.26,10230.94,44775.39,9099.97,14807.91,3104.37,9486.15,8264.77,3107.95,12398.32,1090.13
441.46,133260.65,84633.39,78290.14,10267.01,44912.15,9130.45,14858.15,3117.27,9520.19,8294.24,3119.83,12443.16,1094.74
441.56,133551.66,84867.25,78497.46,10303.19,45049.23,9161.03,14908.54,3130.21,9554.33,8323.8,3131.75,12488.14,1099.37
441.66,133843.16,85101.63,78705.23,10339.47,45186.65,9191.68,14959.08,3143.19,9588.58,8353.45,3143.7,12533.26,1104.01
441.76,134135.14,85336.55,78913.44,10375.86,45324.39,9222.43,15009.76,3156.22,9622.93,8383.2,3155.7,12578.51,1108.67
441.86,134427.6,85572,79122.1,10412.36,45462.46,9253.26,15060.6,3169.3,9657.4,8413.03,3167.74,12623.9,1113.35
441.96,134720.55,85807.99,79331.21,10448.96,45600.87,9284.18,15111.58,3182.43,9691.97,8442.95,3179.82,12669.43,1118.05
